_id,dataNotificacao,cnes,ocupacaoSuspeitoCli,ocupacaoSuspeitoUti,ocupacaoConfirmadoCli,ocupacaoConfirmadoUti,saidaSuspeitaObitos,saidaSuspeitaAltas,saidaConfirmadaObitos,saidaConfirmadaAltas,origem,_p_usuario,estadoNotificacao,municipioNotificacao,estado,municipio,excluido,validado,_created_at,_updated_at
TB7rcfIdaA,2020-04-05T03:00:00.000Z,2562871,5,0,1,0,0,2,0,0,parse-cloud,_User$fhufIbmR9C,Ceará,Várzea Alegre,Ceará,Várzea Alegre,false,false,2020-04-15T18:10:14.955Z,2020-08-01T21:13:00.637Z
wLUCtCnu6D,2020-04-06T03:00:00.000Z,2562871,7,0,1,0,0,1,0,0,parse-cloud,_User$fhufIbmR9C,Ceará,Várzea Alegre,Ceará,Várzea Alegre,false,false,2020-04-15T18:10:55.489Z,2020-08-01T21:06:35.891Z
RMuZTvL4E6,2020-04-07T03:00:00.000Z,2562871,5,0,2,0,0,3,0,0,parse-cloud,_User$fhufIbmR9C,Ceará,Várzea Alegre,Ceará,Várzea Alegre,false,false,2020-04-15T18:11:31.337Z,2020-08-01T21:00:49.783Z
77SlE3awk0,2020-04-08T03:00:00.000Z,2562871,12,0,3,0,0,0,0,0,parse-cloud,_User$fhufIbmR9C,Ceará,Várzea Alegre,Ceará,Várzea Alegre,false,false,2020-04-15T18:12:11.790Z,2020-08-01T20:52:47.986Z
EXKhWOsESo,2020-04-09T03:00:00.000Z,2562871,12,0,2,0,0,2,0,0,parse-cloud,_User$fhufIbmR9C,Ceará,Várzea Alegre,Ceará,Várzea Alegre,false,false,2020-04-15T18:12:31.419Z,2020-08-01T20:45:47.606Z
r4JFCd9B1k,2020-04-10T03:00:00.000Z,2562871,8,0,1,0,0,4,0,0,parse-cloud,_User$fhufIbmR9C,Ceará,Várzea Alegre,Ceará,Várzea Alegre,false,false,2020-04-15T18:13:09.108Z,2020-08-01T20:39:49.824Z
puuM78D03N,2020-04-11T03:00:00.000Z,2562871,6,0,2,0,0,0,0,0,parse-cloud,_User$fhufIbmR9C,Ceará,Várzea Alegre,Ceará,Várzea Alegre,false,false,2020-04-15T18:13:35.111Z,2020-08-01T20:33:38.938Z
ksM9Fso8ME,2020-04-12T03:00:00.000Z,2562871,5,0,2,0,0,1,0,0,parse-cloud,_User$fhufIbmR9C,Ceará,Várzea Alegre,Ceará,Várzea Alegre,false,false,2020-04-15T18:14:02.779Z,2020-08-01T20:27:36.183Z
jxBs35vNBZ,2020-04-13T03:00:00.000Z,2562871,10,0,4,0,0,1,0,0,parse-cloud,_User$fhufIbmR9C,Ceará,Várzea Alegre,Ceará,Várzea Alegre,false,false,2020-04-15T18:14:38.006Z,2020-08-01T20:21:01.253Z
eREYCs0dCL,2020-04-14T03:00:00.000Z,2562871,7,0,0,0,0,1,0,0,parse-cloud,_User$fhufIbmR9C,Ceará,Várzea Alegre,Ceará,Várzea Alegre,false,false,2020-04-15T18:14:59.698Z,2020-08-01T20:14:35.631Z
kwCELycZy3,2020-04-16T03:00:00.000Z,2303167,4,0,0,0,0,0,0,0,parse-cloud,_User$auVMjEVEVz,Santa Catarina,Itapema,Santa Catarina,Itapema,false,false,2020-04-15T18:46:38.698Z,2020-08-01T20:01:44.933Z
MSsNwxnsPl,2020-04-21T03:00:00.000Z,2796341,7,0,0,0,0,0,0,0,parse-cloud,_User$sDovugxgDt,Minas Gerais,Paraguaçu,Minas Gerais,Paraguaçu,false,false,2020-04-15T19:06:21.737Z,2020-08-01T19:21:00.034Z
7ZyoFiKn41,2020-04-15T19:04:15.196Z,2111659,1,1,0,1,0,0,0,0,parse-cloud,_User$SsMidzadAo,Minas Gerais,Lavras,Minas Gerais,Lavras,false,false,2020-04-15T19:20:29.120Z,2020-08-01T20:02:11.792Z
CxNVsD2Vud,2020-04-15T19:19:25.417Z,6779069,26,0,0,0,0,0,0,0,parse-cloud,_User$mniJTLHg7Q,Pará,Tailândia,Pará,Tailândia,false,false,2020-04-15T19:22:04.227Z,2020-08-01T20:02:10.996Z
xxWQpxHsx6,2020-04-01T03:00:00.000Z,2365103,0,0,0,0,0,0,0,0,parse-cloud,_User$vrgVrVvaHd,Piauí,Simplício Mendes,Piauí,Simplício Mendes,false,false,2020-04-15T19:24:14.553Z,2020-08-01T21:37:38.558Z
WqH03bxaRq,2020-04-02T03:00:00.000Z,2365103,1,0,2,0,1,1,0,0,parse-cloud,_User$vrgVrVvaHd,Piauí,Simplício Mendes,Piauí,Simplício Mendes,false,false,2020-04-15T19:26:18.258Z,2020-08-01T21:31:12.106Z
fHqEA6b8Xt,2020-04-15T19:18:27.505Z,2375850,0,0,0,10,0,0,0,0,aplicacao-web,_User$Utr4cDP5eD,Mato Grosso do Sul,Paranaíba,Mato Grosso do Sul,Paranaíba,true,false,2020-04-15T19:29:13.561Z,2020-04-15T19:48:07.806Z
EqdeIRqPFQ,2020-04-15T19:28:56.592Z,2711214,0,0,0,0,0,0,0,0,parse-cloud,_User$OjSZBvKA5m,Pará,Porto de Moz,Pará,Porto de Moz,false,false,2020-04-15T19:29:41.834Z,2020-08-01T20:02:09.394Z
3zGVjwrIoA,2020-04-03T03:00:00.000Z,2365103,1,0,0,0,0,0,0,0,parse-cloud,_User$vrgVrVvaHd,Piauí,Simplício Mendes,Piauí,Simplício Mendes,false,false,2020-04-15T19:29:52.707Z,2020-08-01T21:25:08.959Z
bC7Vfte40T,2020-04-01T03:00:00.000Z,2764814,0,0,0,0,0,0,0,0,parse-cloud,_User$r9WwpbBwyC,Minas Gerais,São Lourenço,Minas Gerais,São Lourenço,false,false,2020-04-15T19:31:49.118Z,2020-08-01T21:37:31.931Z
Krt1HTMhZN,2020-04-02T03:00:00.000Z,2764814,0,0,0,0,0,0,0,0,parse-cloud,_User$r9WwpbBwyC,Minas Gerais,São Lourenço,Minas Gerais,São Lourenço,false,false,2020-04-15T19:32:15.042Z,2020-08-01T21:31:06.488Z
sbGKuYg9H7,2020-04-15T03:00:00.000Z,2696940,24,5,1,0,0,0,0,0,parse-cloud,_User$pbb1QpRogI,Rio de Janeiro,Bom Jesus do Itabapoana,Rio de Janeiro,Bom Jesus do Itabapoana,false,false,2020-04-15T19:34:01.198Z,2020-08-01T20:08:17.533Z
Gmt8eq6ZY5,2020-04-15T19:35:30.905Z,2711214,6,0,0,0,0,0,0,0,parse-cloud,_User$OjSZBvKA5m,Pará,Porto de Moz,Pará,Porto de Moz,false,false,2020-04-15T19:37:00.101Z,2020-08-01T20:02:07.564Z
hFEy2jD4hM,2020-04-15T03:00:00.000Z,2143895,2,0,0,0,0,0,0,0,parse-cloud,_User$tZBlEClREQ,Minas Gerais,Itapecerica,Minas Gerais,Itapecerica,false,false,2020-04-15T19:37:42.238Z,2020-08-01T20:08:16.659Z
Zekk3kC7Gp,2020-04-01T03:00:00.000Z,2760819,1,0,0,0,0,0,0,0,aplicacao-web,_User$cIStY25tjj,Minas Gerais,Minduri,Minas Gerais,Minduri,true,false,2020-04-15T19:38:08.434Z,2020-04-15T19:49:49.157Z
FxjvrxJ5P3,2020-04-15T03:00:00.000Z,2252260,14,7,3,2,0,0,0,0,parse-cloud,_User$xM5hias4w2,Rio Grande do Sul,Estrela,Rio Grande do Sul,Estrela,false,false,2020-04-15T19:39:40.399Z,2020-08-01T20:08:28.311Z
6m0iH5blyQ,2020-04-02T03:00:00.000Z,2760819,1,0,0,0,0,0,0,0,aplicacao-web,_User$cIStY25tjj,Minas Gerais,Minduri,Minas Gerais,Minduri,true,false,2020-04-15T19:39:52.298Z,2020-04-15T19:50:00.013Z
J6qrjnb2y4,2020-04-03T03:00:00.000Z,2760819,1,0,0,0,0,0,0,0,aplicacao-web,_User$cIStY25tjj,Minas Gerais,Minduri,Minas Gerais,Minduri,true,false,2020-04-15T19:41:13.629Z,2020-04-15T19:50:20.836Z
84u09qrCH4,2020-04-04T03:00:00.000Z,2760819,0,0,0,0,0,0,0,0,aplicacao-web,_User$cIStY25tjj,Minas Gerais,Minduri,Minas Gerais,Minduri,true,false,2020-04-15T19:41:51.378Z,2020-04-15T19:50:07.477Z
5CthvUHStr,2020-04-05T03:00:00.000Z,2760819,0,0,0,0,0,0,0,0,parse-cloud,_User$cIStY25tjj,Minas Gerais,Minduri,Minas Gerais,Minduri,false,false,2020-04-15T19:42:12.600Z,2020-08-01T21:12:52.964Z
JFXgHO7mGl,2020-04-06T03:00:00.000Z,2760819,0,0,0,0,0,0,0,0,parse-cloud,_User$cIStY25tjj,Minas Gerais,Minduri,Minas Gerais,Minduri,false,false,2020-04-15T19:42:32.322Z,2020-08-01T21:06:45.171Z
rmoJYEt7E4,2020-04-07T03:00:00.000Z,2760819,0,0,0,0,0,0,0,0,parse-cloud,_User$cIStY25tjj,Minas Gerais,Minduri,Minas Gerais,Minduri,false,false,2020-04-15T19:42:53.134Z,2020-08-01T21:00:55.027Z
2j2p3DDeaY,2020-04-01T03:00:00.000Z,2710463,6,0,0,0,0,0,0,0,parse-cloud,_User$4TrxGWC2C2,Mato Grosso do Sul,Paranhos,Mato Grosso do Sul,Paranhos,false,false,2020-04-15T19:43:21.723Z,2020-08-01T21:37:36.609Z
WzNpKc09YT,2020-04-02T03:00:00.000Z,2710463,8,0,0,0,0,0,0,0,parse-cloud,_User$4TrxGWC2C2,Mato Grosso do Sul,Paranhos,Mato Grosso do Sul,Paranhos,false,false,2020-04-15T19:44:27.302Z,2020-08-01T21:31:02.659Z
zuONPuyigy,2020-04-03T03:00:00.000Z,2710463,4,0,0,0,0,0,0,0,parse-cloud,_User$4TrxGWC2C2,Mato Grosso do Sul,Paranhos,Mato Grosso do Sul,Paranhos,false,false,2020-04-15T19:44:48.507Z,2020-08-01T21:25:01.207Z
eHJg1GzOSI,2020-04-15T03:00:00.000Z,6538088,0,0,0,0,0,0,0,0,parse-cloud,_User$vncrauDBKQ,Goiás,Buriti de Goiás,Goiás,Buriti de Goiás,false,false,2020-04-15T19:44:50.824Z,2020-08-01T20:08:04.530Z
